time,long,lat,dt,H,Roll,pitch,yaw,S,truckSpeed,truck_Lat,truck_long,Tension
0,130.188934,33.146934,0.15,69.44,3,-53,174,9,0,33.147,130.1888,0
0.15,130.188934,33.146934,0.15,69.44,3,-53,174,9,0.01852,33.14707243,130.1888396,-2.265
0.3,130.188934,33.146934,0.15,69.44,3,-53,174,9,0.01852,33.14707243,130.1888396,-4.53
0.45,130.188934,33.146934,0.15,69.44,3,-53,174,9,0.06482,33.14707246,130.1888396,-4.53
0.6,130.188934,33.146934,0.15,69.44,3,-53,102,9,0.01852,33.14707247,130.1888396,-4.53
0.75,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.01852,33.14707249,130.1888396,0
0.9,130.188934,33.146934,0.15,69.94,0,-58,167,8,0,33.14707247,130.1888396,9.06
1.05,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.01852,33.14707244,130.1888395,13.59
1.2,130.188934,33.146934,0.15,69.94,0,-58,167,8,0,33.14707237,130.1888393,13.59
1.35,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.01852,33.14707228,130.1888392,2.265
1.5,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.20372,33.14707227,130.1888391,-4.53
1.65,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.14816,33.14707227,130.1888391,-4.53
1.8,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.07408,33.14707233,130.1888391,-4.53
1.95,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.0463,33.14707249,130.1888391,-2.265
2.1,130.188934,33.146934,0.15,69.94,0,-58,167,8,0.01852,33.14707258,130.1888389,4.53
2.25,130.188934,33.146934,0.15,70.25,1,-42,164,9,0.06482,33.14707269,130.1888389,4.53
2.4,130.188934,33.146934,0.15,70.25,1,-45,164,9,0,33.14707275,130.1888388,4.53
2.55,130.188934,33.146934,0.15,70.25,1,-45,164,9,0.06482,33.14707278,130.1888387,4.53
2.7,130.188934,33.146934,0.15,70.25,1,-45,164,9,0.11112,33.14707285,130.1888386,0
2.85,130.188934,33.146934,0.15,70.25,1,-45,164,9,0.24076,33.14707298,130.1888384,0
3,130.188934,33.146934,0.15,70.25,1,-45,164,9,0.33336,33.14707313,130.1888382,0
