time,long,lat,dt,H,Roll,pitch,yaw,S,truckSpeed,truck_Lat,truck_long,Tension
0,130.18898,33.1468,0.15,69.13,0,-58,32,10,0,33.14697,130.18884,0
0.15,130.18898,33.1468,0.15,69.13,2,-43,42,10,0.07408,33.14697056,130.1888474,0
0.3,130.18898,33.146804,0.15,69.63,2,-43,42,10,0.0926,33.14697065,130.1888473,0
0.45,130.18898,33.146804,0.15,69.63,2,-41,44,10,0.21298,33.14697083,130.188847,0
0.6,130.18898,33.146808,0.15,69.63,2,-45,42,10,0.03704,33.14697088,130.1888469,0
0.75,130.18898,33.146812,0.15,70.07,1,-48,40,10,0.19446,33.14697103,130.1888467,0
0.9,130.18898,33.146816,0.15,70.07,1,-48,40,10,0.16668,33.14697123,130.1888466,0
1.05,130.18898,33.146816,0.15,70.07,1,-47,41,10,0.3704,33.14697146,130.1888464,4.53
1.2,130.188964,33.146823,0.15,69.94,1,-46,42,10,0.90748,33.14697192,130.1888461,13.59
1.35,130.188964,33.146827,0.15,69.94,0,-45,43,10,1.92608,33.14697261,130.1888453,13.59
1.5,130.188964,33.146831,0.15,69.94,0,-45,43,10,3.31508,33.1469737,130.1888445,4.53
1.65,130.188964,33.146831,0.15,70.5,0,-43,44,10,4.56518,33.1469753,130.1888433,2.265
1.8,130.188964,33.146831,0.15,70.5,0,-43,44,10,5.25968,33.1469771,130.1888417,0
1.95,130.188949,33.146831,0.15,73.25,-1,-41,44,10,6.41718,33.14697935,130.1888399,2.265
2.1,130.188949,33.146831,0.15,73.25,-1,-41,44,10,7.0376,33.14698182,130.1888377,4.53
2.25,130.188949,33.146831,0.15,73.25,-1,-40,45,10,8.36178,33.14698468,130.1888354,9.06
2.4,130.188964,33.146842,0.15,73.44,-2,-41,44,10,9.20444,33.1469878,130.1888329,9.06
2.55,130.188964,33.146846,0.15,73.44,-1,-45,46,10,9.98228,33.14699115,130.1888302,9.06
2.7,130.188949,33.146865,0.15,80.57,-1,-45,46,10,11.07496,33.14699483,130.1888272,13.59
2.85,130.188949,33.146865,0.15,80.57,-1,-43,49,10,12.09356,33.14699893,130.188824,18.12
3,130.188934,33.146888,0.15,80.57,0,-35,55,10,13.18624,33.1470034,130.1888206,22.65
3.15,130.188919,33.146911,0.15,82.38,5,-31,59,10,13.73258,33.14700804,130.1888171,22.65
3.3,130.188903,33.146934,0.15,82.38,6,-31,59,10,14.55672,33.14701285,130.1888135,36.24
3.45,130.188903,33.146934,0.15,82.38,6,-26,59,10,15.6031,33.14701804,130.1888097,49.83
3.6,130.188888,33.146957,0.15,83.75,5,-10,58,10,15.85312,33.14702322,130.188806,58.89
3.75,130.188873,33.146976,0.15,83.75,1,1,57,10,16.72356,33.14702863,130.1888019,101.925
3.9,130.188858,33.146999,0.15,84,1,1,57,10,16.834681,33.14703422,130.1887977,221.97
4.05,130.188858,33.146999,0.15,84,1,5,59,10,17.5014,33.14703979,130.1887934,285.39
4.2,130.188858,33.146999,0.15,84,2,12,64,10,18.52,33.14704562,130.188789,298.98
4.35,130.188858,33.146999,0.15,84,0,15,66,10,19.1681995,33.14705184,130.1887846,265.005
4.5,130.188827,33.147048,0.15,83.94,0,15,66,10,19.61268,33.14705843,130.1887801,221.97
4.65,130.188827,33.147048,0.15,83.94,0,19,66,10,20.3627405,33.14706501,130.1887753,246.885
4.8,130.188812,33.147056,0.15,83.94,1,22,67,10,20.242359,33.14707172,130.1887704,217.44
4.95,130.188812,33.147071,0.15,83.94,1,23,68,10,22.0388,33.14707925,130.1887652,144.96
5.1,130.188812,33.147083,0.15,83.94,1,23,68,10,22.5944,33.1470869,130.1887598,117.78
5.25,130.188812,33.147083,0.15,83.94,2,23,68,10,22.8999795,33.14709496,130.1887543,99.66
5.4,130.188796,33.147094,0.15,83.94,3,24,68,10,23.038879,33.14710323,130.1887485,99.66
5.55,130.188796,33.147106,0.15,83.69,5,25,68,10,23.372239,33.14711149,130.1887428,72.48
5.7,130.188781,33.147117,0.15,83.69,5,25,68,10,23.9834,33.14711968,130.188737,63.42
5.85,130.188781,33.147117,0.15,83.69,6,25,68,10,24.27046,33.14712793,130.1887311,56.625
6,130.188781,33.147129,0.15,83.57,6,24,69,10,25.15016,33.14713643,130.1887251,49.83
6.15,130.188781,33.147136,0.15,83.57,6,26,70,10,25.12238,33.14714438,130.1887195,38.505
